Req_ID,File_ID,File_Size
170960841,2319814,8111
170960976,9416078,1264
170963867,4524679,6351
170964675,10896828,519
170965132,10950790,10059
170965650,6408056,147
170967872,6408056,147
170967877,6408056,147
170967901,3119813,20202
170968229,10542230,319
170968553,13858402,14659
170969607,13858402,14659
170970066,6408056,147
170970657,6408056,147
170971111,653559 4,60
170971887,6408056,147
170972224,6974394,312
170972392,6408056,147
170972867,4781590,509
170973103,7040763,684
170974813,13858402,14659
170975106,1674185,3629
170975953,13858402,14659
170975998,966794 1,1010
170976587,6408056,147
170976665,955491 3,53
170976842,8708616,15110
170977043,10003775,2980
170977307,7040763,684
170977400,9704607,7915
170978057,6408056,147
170978290,9704607,7915
170978452,4985312,642
170978605,6408056,147
170978989,1674185,3629
170980023,4252232,8496
170980404,7040763,684
170980667,6408056,147
170981062,13600887,287
170981242,10542230,319
170981279,13858402,14659
170982182,6408056,147
170983415,11753447,1822
170983458,1674185,3629
170983866,13858402,14659
170984115,2778357,122
170985573,6408056,147
170985595,1674185,3629
170986188,7040763,684
170986385,6408056,147
170986698,1674185,3629
170987016,7954941,7592
170987285,10294419,46599
170988771,1674185,3629
170988928,4781590,509
170989018,2028585,34395
170989569,5239593,376
170989882,13632957,12315
170990112,6408056,147
170990234,6408056,147
170990580,1674185,3629
170991188,11641826,9855
170991391,1674185,3629
170991682,11410883,11333
170991715,6408056,147
170991953,13858402,14659
170992546,13858402,14659
170992739,6408056,147
170993147,12313986,4789
170993535,6408056,147
170993737,2897514,1417
170993761,9284471,15580
170994792,13929426,7042
170995217,7901138,122
170995936,11285179,19455
170996058,1541284,14874
170996329,4781590,509
170996892,1674185,3629
170998497,3934361,1467
170999235,10902754,12166
170999499,6408056,147
170999668,6408056,147
171000212,1819013,20194
171000363,6408056,147
171001107,1674185,3629
171001333,6408056,147
171001960,3920523,26770
171002324,13858402,14659
171002364,9633893,29517
171002571,1674185,3629
171002835,7040763,684
171002845,6408056,147
171005168,6408056,147
171006065,3478839,303
171007146,1837464,50179
171007289,1674185,3629
171008205,12434132,19517
171009205,1674185,3629
171009987,646012 9,558
171010215,10950790,10059
171010241,1674185,3629
171010529,4749342,31459
171011153,10778380,26507
171011844,1674185,3629
171013056,1674185,3629
171013426,13858402,14659
171013652,12929352,31819
171013673,6408056,147
171013859,7622199,140
171015437,4781590,509
171015853,13600887,287
171016288,3181802,5504
171016549,3049843,348
171017276,7552792,730
171017284,10187313,13506
